,age_group,education,race,sex,income_poverty,marital_status,rent_or_own,employment_status,hhs_geo_region,census_msa,employment_industry,employment_occupation
age_group,1.0,0.09288624005639598,0.10744199598100165,0.06958209348551832,0.18287865977296208,0.19403389420127362,0.2682732648936948,0.3774768349818647,0.02024522441475895,0.05361615324534984,0.11208086989096935,0.1066735346953533
education,0.09288624005639598,1.0,0.12065022940353266,0.04638785039115884,0.32036627844960924,0.15343510652203524,0.17975227231524088,0.16247919820978868,0.07922206427955836,0.10498201937160312,0.24762443808369985,0.3375038704893166
race,0.10744199598100163,0.12065022940353269,1.0,0.04114787396608664,0.16956768447437665,0.1441104987947236,0.23369546970984928,0.06561366086566547,0.1793856642969562,0.11064542130757134,0.09594098846902673,0.12646932659296342
sex,0.06958209348551832,0.046387850391158836,0.04114787396608664,1.0,0.07901416052947996,0.051907624759914874,0.019949905365422904,0.13443503854602154,0.019313478504496485,0.016503716496710858,0.3993651602695734,0.45583705297498317
income_poverty,0.18287865977296208,0.32036627844960924,0.16956768447437665,0.07901416052947997,1.0,0.3310524572759821,0.34053530967302686,0.21208238834088225,0.0914352512885988,0.09104899231695682,0.20675366630834072,0.272155781815835
marital_status,0.19403389420127362,0.15343510652203524,0.1441104987947236,0.051907624759914874,0.33105245727598215,1.0,0.2877408398446403,0.11866172223080838,0.04883791196437996,0.09258055234346069,0.12829746059774538,0.14701403369928537
rent_or_own,0.2682732648936948,0.17975227231524088,0.23369546970984925,0.0199499053654229,0.34053530967302686,0.2877408398446403,1.0,0.10465481239197467,0.0760012270003424,0.13692286419269425,0.19750544358381697,0.21294160099446272
employment_status,0.37747683498186463,0.1624791982097887,0.06561366086566547,0.13443503854602154,0.21208238834088225,0.1186617222308084,0.10465481239197467,1.0,0.05820665560642863,0.031216924157278333,,
hhs_geo_region,0.02024522441475895,0.07922206427955837,0.1793856642969562,0.019313478504496485,0.09143525128859882,0.04883791196437996,0.07600122700034238,0.05820665560642863,1.0,0.19747412376870468,0.07239191090151934,0.05010677150692005
census_msa,0.053616153245349844,0.10498201937160315,0.11064542130757134,0.016503716496710858,0.09104899231695682,0.09258055234346069,0.13692286419269425,0.03121692415727833,0.19747412376870468,1.0,0.14145495499184219,0.12271041521428903
employment_industry,0.11208086989096935,0.24762443808369985,0.09594098846902673,0.3993651602695734,0.20675366630834074,0.1282974605977454,0.19750544358381697,,0.07239191090151932,0.14145495499184216,1.0,0.493227096694024
employment_occupation,0.1066735346953533,0.33750387048931657,0.12646932659296342,0.45583705297498306,0.272155781815835,0.14701403369928537,0.21294160099446272,,0.05010677150692004,0.12271041521428903,0.493227096694024,1.0
