,age_group,education,race,sex,income_poverty,marital_status,rent_or_own,employment_status,hhs_geo_region,census_msa,employment_industry,employment_occupation
h1n1_concern,0.0892016588300397,0.07159061110964626,0.13073326387977252,0.12761371573474906,0.08072386254370434,0.029991757872942417,0.0011214287301025828,0.05964536645757147,0.0798270513695344,0.0071758290088717635,0.13759841328825573,0.1285724421173055
h1n1_knowledge,0.1515604908064279,0.3247010310213413,0.15103370963028465,0.06733452769722725,0.24906708782842252,0.13427833363656455,0.13121128423271006,0.1488982264686453,0.1001244808858058,0.061614401607182914,0.2550667013436689,0.29875371835618997
behavioral_antiviral_meds,0.09550992206065304,0.07066286082214855,0.1395741211551655,0.006185182263621551,0.10065682751174908,0.012960618710265695,0.06560606343181487,0.02803180505762018,0.048963155168656514,0.023095156302217885,0.05743318677598259,0.09001670700662086
behavioral_avoidance,0.041418513358868994,0.021119200244136917,0.008461456705160521,0.11395694368443861,0.02841701340691447,0.05518477504491591,0.03566326707548604,0.016297852953457745,0.032890852559941286,0.034353427187803286,0.072975245390263,0.09205967222446883
behavioral_face_mask,0.009756359584191307,0.07096025383055704,0.09991131559420413,0.04998603992638065,0.08038574494143134,0.008526922090337351,0.05105606576283796,0.03704670732412199,0.04645340473557114,0.022099994526704067,0.13524180132577848,0.12961407649282922
behavioral_wash_hands,0.044745569370685745,0.02157835475009041,0.06610735322325227,0.15725566787478276,0.019484948033864607,0.04522385950440591,0.02068528810766474,0.018361919988601677,0.043625015299129974,0.018722340032006114,0.14574180583183255,0.1407669594091469
behavioral_large_gatherings,0.10012864723259401,0.17699896531205947,0.11569611984994375,0.05614473916520638,0.16924814449108624,0.03017606265117509,0.05299408937877951,0.15333983978135782,0.07735421997077893,0.04776259737184275,0.11251138401856221,0.15631621527941306
behavioral_outside_home,0.09786894333399802,0.20185788791296325,0.1285395856566716,0.03942310804319285,0.18991908097020793,0.031129276841205568,0.07150850230136005,0.15984597232336256,0.08491459031720888,0.03644978313245657,0.12394181448585125,0.1590127714071216
behavioral_touch_face,0.06524713458881022,0.057071996368530956,0.05723746414381484,0.1633254753723602,0.043366373538051076,0.031623930926852124,0.019906976905609743,0.03326927415157304,0.031869629244032874,0.022530254445331188,0.16637958516005236,0.16069654230802793
doctor_recc_h1n1,0.024450543143094732,0.03234773643861132,0.017955651493238772,0.042447750675707385,0.02270727393507583,0.025218927642152323,0.0007931169523570091,0.040515336536220144,0.06138036413595518,0.0094314548934326,0.17344454910248852,0.16609981484634967
doctor_recc_seasonal,0.1706552782179681,0.0137124313210305,0.03195765884799591,0.07223283032649605,0.0191066051606719,0.023813075995740268,0.03446073417346958,0.1298514937274364,0.05149279688488828,0.014736593009510622,0.1582576670664582,0.14406495452130952
chronic_med_condition,0.21074406768298376,0.08976913995415615,0.04909663922341608,0.04997754168202238,0.10853262945369295,0.06007945071760946,0.018101733561764765,0.19068821747834433,0.042597974827728355,0.02812329456965072,0.07961085904349414,0.08648340267604883
child_under_6_months,0.10719418696675408,0.04332317529951279,0.05639762458137891,0.034508733706450204,0.04291244242285514,0.03136513138137184,0.01979790654283044,0.04674334310450074,0.018842265256934575,0.02263417264779236,0.1468677297221372,0.14901341162389756
health_worker,0.10939463109474627,0.12028604845711055,0.02033942587248366,0.10934397512364188,0.09372678845625693,0.012759461725997675,0.02761408577518236,0.2208116531881416,0.030729320649864198,0.00701093495003845,0.7572379438633822,0.7035229596369611
health_insurance,0.2329243656990301,0.17896273980867752,0.19607420398450823,0.06523841466977008,0.27143577165171856,0.13426445918365365,0.20544957259329913,0.23050694926992737,0.07066486802567619,0.06270869502146544,0.2806641136782396,0.2932775157655643
opinion_h1n1_vacc_effective,0.025285790359161505,0.08208914437884454,0.044399974105156066,0.017143634951703558,0.06301012793164282,0.027808387942758226,0.024432363470594326,0.018059507295851027,0.05356969765532194,0.020925153963463644,0.11763178442324425,0.11888269150663308
opinion_h1n1_risk,0.07082807217270305,0.05556621208105207,0.09010356502598314,0.09302261083783385,0.08023195981460467,0.02435812878605782,0.03737791873369813,0.014737371783701545,0.030488539821590735,0.00603590644947187,0.20844299687198917,0.20968618883234483
opinion_h1n1_sick_from_vacc,0.050607980852450586,0.09173514815831255,0.12291913877798674,0.09073070168136181,0.10984458364982679,0.0004022976872316553,0.06294541068509144,0.04234189549619441,0.04999205019809895,0.0025084017417190798,0.06546207492579006,0.08149532213073431
opinion_seas_vacc_effective,0.14383725066685174,0.035747826933731776,0.07137330943559794,0.051251043594053164,0.04219051709280596,0.014947434176489034,0.046097122772239894,0.09301726989501803,0.03800857925692941,0.01092907662009384,0.10777656082271797,0.09714421559594116
opinion_seas_risk,0.03647719767624103,0.03689224568157384,0.055738783243097625,0.0910959728586086,0.03167473535710714,0.027965139671980374,0.0021183387416810443,0.043411583114296354,0.02656720960203113,0.01195409282934371,0.17707885734986797,0.16349978284391753
opinion_seas_sick_from_vacc,0.07049401761339714,0.11516790469768912,0.14946583210488715,0.042406806531488934,0.12456858513941238,0.022281274082612962,0.08686889908193947,0.03774863795074154,0.05131778564268684,0.010882362693020897,0.06571847368678334,0.10386466903835335
household_adults,0.26321828490323185,0.024182005701596405,0.10769016321176327,0.06479933020378782,0.19155917760967625,0.38618633617246656,0.0935431128435621,0.11510029530590761,0.04572453156117927,0.0544857426143249,0.08246965347511023,0.08695219505886347
household_children,0.5133131094702497,0.055162206571285836,0.16645409784686394,0.028112058125239817,0.18478097573338265,0.20829057390376107,0.01028253639019301,0.16894059977740927,0.03978691234749362,0.04149074721179172,0.06889452791454347,0.0774737178098752
