,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,doctor_recc_h1n1,doctor_recc_seasonal,chronic_med_condition,child_under_6_months,health_worker,health_insurance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,household_adults,household_children
h1n1_concern,1.0,0.06252241160881054,0.09030094832465663,0.23371298261899454,0.15603167860379338,0.2935651485017993,0.2550310154400835,0.24642405071049156,0.24801591484752208,0.15020621893091068,0.1355670578748089,0.09516207596154917,0.04957434369594782,0.033561880503967065,-0.0036546334579267868,0.23960427588328606,0.3770328126230567,0.3600697383652842,0.23513594593979842,0.3339895008732969,0.2257313714097453,-0.01565846382609217,0.0505245371845069
h1n1_knowledge,0.06252241160881054,1.0,-0.010835776671415285,0.08883925257751105,0.03004964246701554,0.08978458163579542,-0.04889756935505472,-0.06821871604298227,0.0861621480749345,0.09382908082459804,0.07192036329637888,-0.022601804900348396,0.021597627023193885,0.17025222998037828,0.11940849035545194,0.1210085337809082,0.07308598385278184,-0.01950083500260194,0.0861031840402147,0.07682459751016128,-0.06248292905730443,0.024873810968049744,0.05058326459519497
behavioral_antiviral_meds,0.09030094832465663,-0.010835776671415285,1.0,0.04924698335295177,0.1462605024832293,0.06411916681777688,0.10628738366519924,0.12767877291647112,0.07086825144163444,0.051234794366272485,0.030909396112766836,0.008465208916843627,0.028787519282995767,0.009465066928334064,-0.06398821985085237,0.03021054552116277,0.1051631788281508,0.07909059919774089,0.01500257665930986,0.08531537720282088,0.08430457323908726,0.04489997218880064,0.08482171514639462
behavioral_avoidance,0.23371298261899454,0.08883925257751105,0.04924698335295177,1.0,0.06494611482698309,0.3381295192965343,0.22767495270672114,0.22034782660874142,0.3353354496707589,0.0681450761398147,0.0740882567459384,0.039435395678971474,-0.0004143035534651039,0.0011797346070703324,0.03266222141994507,0.11229970224344046,0.1178508875779282,0.13140535304319073,0.11955384139555418,0.12950414428890225,0.08294177103360453,0.019121772931499796,0.040328399237280974
behavioral_face_mask,0.15603167860379338,0.03004964246701554,0.1462605024832293,0.06494611482698309,1.0,0.08336345426080256,0.18090692702915306,0.16338176397229068,0.10433530344785852,0.08428163929883267,0.0694810990597653,0.06811314027260908,0.03972559941633098,0.06999193325148546,-0.04025675492330735,0.03765147026224483,0.13116480672137343,0.10712924674233558,0.04155564393278882,0.11016060192075622,0.09000946626508807,0.013990869453319862,0.005825535463355385
behavioral_wash_hands,0.2935651485017993,0.08978458163579542,0.06411916681777688,0.3381295192965343,0.08336345426080256,1.0,0.1953638904612371,0.1926190226385802,0.36506407130000645,0.08872915040745627,0.10204396027509455,0.0302597566439651,0.03618818789764476,0.053761183951042055,0.031919416330243346,0.13698724360855485,0.16871118553747036,0.15002394451716206,0.1385167458602026,0.17246435791470746,0.08802934924704718,0.009669317349583808,0.04776363268548075
behavioral_large_gatherings,0.2550310154400835,-0.04889756935505472,0.10628738366519924,0.22767495270672114,0.18090692702915306,0.1953638904612371,1.0,0.5840845791409999,0.2536834927481906,0.08224234580780784,0.09355711635160101,0.10472121526039867,0.02116829962543701,-0.03231925031076599,-0.05900007382687948,0.052298616110218424,0.12646250200369266,0.18592389968359282,0.07849066962638354,0.13286525397666815,0.1354462678893524,-0.031938135856990804,-0.009448681932457013
behavioral_outside_home,0.24642405071049156,-0.06821871604298227,0.12767877291647112,0.22034782660874142,0.16338176397229068,0.1926190226385802,0.5840845791409999,1.0,0.2677190664527069,0.07034558671264812,0.08562241655322118,0.09885820987590345,0.018194664979729085,-0.03461870850140729,-0.06138115416849119,0.050748003213297796,0.12554914576023568,0.17483429083985877,0.06746948590691586,0.12023709043534683,0.138132634135899,-0.027527235059394944,-0.00955779831672396
behavioral_touch_face,0.24801591484752208,0.0861621480749345,0.07086825144163444,0.3353354496707589,0.10433530344785852,0.36506407130000645,0.2536834927481906,0.2677190664527069,1.0,0.08822112934849749,0.10080817986519058,0.028876469143795568,0.026639594287426297,0.0676478812637594,0.011024498338899664,0.1041258914799197,0.14607998597788027,0.13177231228812575,0.10579756371974126,0.14373496681266162,0.0900972397809491,-0.0005529748319996625,0.02360628880624221
doctor_recc_h1n1,0.15020621893091068,0.09382908082459804,0.051234794366272485,0.0681450761398147,0.08428163929883267,0.08872915040745627,0.08224234580780784,0.07034558671264812,0.08822112934849749,1.0,0.591867663364472,0.15827515338418877,0.07938929164143929,0.10163890628884442,0.06715664889454757,0.15230459912692415,0.2628258764271389,0.11311121314842094,0.10751204628371114,0.20231991333381535,0.0571277636045081,0.004112125700811879,0.029039996536227113
doctor_recc_seasonal,0.1355670578748089,0.07192036329637888,0.030909396112766836,0.0740882567459384,0.0694810990597653,0.10204396027509455,0.09355711635160101,0.08562241655322118,0.10080817986519058,0.591867663364472,1.0,0.21380614939347142,0.03683155805434649,0.05940196900313611,0.11719478534420134,0.1186142029929479,0.16844301242933113,0.06717833935223574,0.18090244906386313,0.24008655441081167,0.025356487652024782,-0.04076939219141743,-0.04838022007902551
chronic_med_condition,0.09516207596154917,-0.022601804900348396,0.008465208916843627,0.039435395678971474,0.06811314027260908,0.0302597566439651,0.10472121526039867,0.09885820987590345,0.028876469143795568,0.15827515338418877,0.21380614939347142,1.0,-0.0013494883251830051,-0.02648113237807932,0.06608818947126543,0.044144543287693204,0.12165710235287452,0.08194287187093428,0.09173722073297587,0.1620611169023481,0.0525872337626485,-0.07134645119059896,-0.10823716854298618
